Function,Subfunction,Year,Budget,Amount
950,951,2021,Adjusted April Baseline,-77941
950,952,2021,Adjusted April Baseline,-19125
950,953,2021,Adjusted April Baseline,-4500
950,959,2021,Adjusted April Baseline,-3501
990,999,2021,Adjusted April Baseline,0
050,050,2022,Adjusted April Baseline,-83603
050,051,2022,Adjusted April Baseline,730907
050,053,2022,Adjusted April Baseline,24875
050,054,2022,Adjusted April Baseline,9999
150,151,2022,Adjusted April Baseline,28941
150,152,2022,Adjusted April Baseline,12714
150,153,2022,Adjusted April Baseline,14448
150,154,2022,Adjusted April Baseline,1815
150,155,2022,Adjusted April Baseline,-926
250,251,2022,Adjusted April Baseline,14879
250,252,2022,Adjusted April Baseline,21847
270,270,2022,Adjusted April Baseline,0
270,271,2022,Adjusted April Baseline,5277
270,272,2022,Adjusted April Baseline,129
270,274,2022,Adjusted April Baseline,-1221
270,276,2022,Adjusted April Baseline,608
300,301,2022,Adjusted April Baseline,13614
300,302,2022,Adjusted April Baseline,15091
300,303,2022,Adjusted April Baseline,5252
300,304,2022,Adjusted April Baseline,9544
300,306,2022,Adjusted April Baseline,8735
350,350,2022,Adjusted April Baseline,0
350,351,2022,Adjusted April Baseline,16094
350,352,2022,Adjusted April Baseline,8429
370,371,2022,Adjusted April Baseline,-6197
370,372,2022,Adjusted April Baseline,2442
370,373,2022,Adjusted April Baseline,-7712
370,376,2022,Adjusted April Baseline,22548
400,400,2022,Adjusted April Baseline,0
400,401,2022,Adjusted April Baseline,71743
400,402,2022,Adjusted April Baseline,24323
400,403,2022,Adjusted April Baseline,14156
400,407,2022,Adjusted April Baseline,549
450,451,2022,Adjusted April Baseline,21611
450,452,2022,Adjusted April Baseline,5712
450,453,2022,Adjusted April Baseline,40722
500,501,2022,Adjusted April Baseline,47342
500,502,2022,Adjusted April Baseline,41988
500,503,2022,Adjusted April Baseline,4260
500,504,2022,Adjusted April Baseline,7968
500,505,2022,Adjusted April Baseline,2132
500,506,2022,Adjusted April Baseline,22786
550,550,2022,Adjusted April Baseline,0
550,551,2022,Adjusted April Baseline,618509
550,552,2022,Adjusted April Baseline,40013
550,554,2022,Adjusted April Baseline,5759
570,570,2022,Adjusted April Baseline,0
570,571,2022,Adjusted April Baseline,837351
600,600,2022,Adjusted April Baseline,0
600,601,2022,Adjusted April Baseline,6508
600,602,2022,Adjusted April Baseline,170075
600,603,2022,Adjusted April Baseline,45847
600,604,2022,Adjusted April Baseline,54065
600,605,2022,Adjusted April Baseline,100337
600,609,2022,Adjusted April Baseline,206933
650,651,2022,Adjusted April Baseline,1259521
700,700,2022,Adjusted April Baseline,0
700,701,2022,Adjusted April Baseline,115381
700,702,2022,Adjusted April Baseline,17388
700,703,2022,Adjusted April Baseline,84149
700,704,2022,Adjusted April Baseline,836
700,705,2022,Adjusted April Baseline,9283
750,751,2022,Adjusted April Baseline,38882
750,752,2022,Adjusted April Baseline,18349
750,753,2022,Adjusted April Baseline,8357
750,754,2022,Adjusted April Baseline,10819
800,801,2022,Adjusted April Baseline,4844
800,802,2022,Adjusted April Baseline,586
800,803,2022,Adjusted April Baseline,14039
800,804,2022,Adjusted April Baseline,-384
800,805,2022,Adjusted April Baseline,242
800,806,2022,Adjusted April Baseline,7544
800,808,2022,Adjusted April Baseline,4677
800,809,2022,Adjusted April Baseline,-3750
900,901,2022,Adjusted April Baseline,869478
900,902,2022,Adjusted April Baseline,-84522
900,903,2022,Adjusted April Baseline,-77000
900,908,2022,Adjusted April Baseline,-65195
900,909,2022,Adjusted April Baseline,-928
920,920,2022,Adjusted April Baseline,-93349
920,922,2022,Adjusted April Baseline,0
920,923,2022,Adjusted April Baseline,0
920,924,2022,Adjusted April Baseline,0
920,925,2022,Adjusted April Baseline,0
920,927,2022,Adjusted April Baseline,0
920,928,2022,Adjusted April Baseline,0
920,929,2022,Adjusted April Baseline,0
950,951,2022,Adjusted April Baseline,-80435
950,952,2022,Adjusted April Baseline,-19777
950,953,2022,Adjusted April Baseline,-4500
950,959,2022,Adjusted April Baseline,-3501
990,999,2022,Adjusted April Baseline,0
